ticker,announce_date,announce_hour,eps_est,eps_act
AAPL,2026-10-29,16.0,1.98,
AAPL,2026-07-30,16.0,1.89,2.02
AAPL,2026-04-30,16.0,1.94,2.01
AAPL,2026-01-29,16.0,2.67,2.84
AAPL,2025-10-30,16.0,1.77,1.85
AAPL,2025-07-31,16.0,1.43,1.57
AAPL,2025-05-01,16.0,1.62,1.65
AAPL,2025-01-30,16.0,2.35,2.4
AAPL,2024-10-31,16.0,0.95,0.97
AAPL,2024-08-01,16.0,1.34,1.4
AAPL,2024-05-02,16.0,1.51,1.53
AAPL,2024-02-01,16.0,2.1,2.18
AAPL,2023-11-02,16.0,1.39,1.46
AAPL,2023-08-03,16.0,1.19,1.26
AAPL,2023-05-04,16.0,1.43,1.52
AAPL,2023-02-02,16.0,1.95,1.88
AAPL,2022-10-27,16.0,1.27,1.29
AAPL,2022-07-28,16.0,1.15,1.2
AAPL,2022-04-28,16.0,1.43,1.52
AAPL,2022-01-27,16.0,1.89,2.1
AAPL,2021-10-28,16.0,1.24,1.24
AAPL,2021-07-27,16.0,1.01,1.3
AAPL,2021-04-28,16.0,0.98,1.4
AAPL,2021-01-27,16.0,1.42,1.68
AAPL,2020-10-29,16.0,0.7,0.73
AAPL,2020-07-30,16.0,0.52,0.65
AAPL,2020-04-30,17.0,0.56,0.64
AAPL,2020-01-28,16.0,1.13,1.25
AAPL,2019-10-30,16.0,0.71,0.76
AAPL,2019-07-30,16.0,0.53,0.55
AAPL,2019-04-30,16.0,0.59,0.62
AAPL,2019-01-29,16.0,1.04,1.05
AAPL,2018-11-01,16.0,0.7,0.73
AAPL,2018-07-31,16.0,0.54,0.59
AAPL,2018-05-01,16.0,0.67,0.68
AAPL,2018-02-01,16.0,0.96,0.97
AAPL,2017-11-02,16.0,0.47,0.52
AAPL,2017-08-01,16.0,0.39,0.42
AAPL,2017-05-02,16.0,0.51,0.53
AAPL,2017-01-31,16.0,0.81,0.84
AAPL,2016-10-25,16.0,0.41,0.42
AAPL,2016-07-26,16.0,0.35,0.36
AAPL,2016-04-26,16.0,0.5,0.48
AAPL,2016-01-26,16.0,0.81,0.82
AAPL,2015-10-27,16.0,0.47,0.49
AAPL,2015-07-21,16.0,0.45,0.46
AAPL,2015-04-27,16.0,0.54,0.58
AAPL,2015-01-27,16.0,0.65,0.77
AAPL,2014-10-20,16.0,0.33,0.36
AAPL,2014-07-22,16.0,0.31,0.32
MSFT,2026-10-28,16.0,4.72,
MSFT,2026-07-29,16.0,4.24,4.74
MSFT,2026-04-29,16.0,4.07,4.27
MSFT,2026-01-28,16.0,3.92,4.14
MSFT,2025-10-29,16.0,3.66,4.13
MSFT,2025-07-30,16.0,3.38,3.65
MSFT,2025-04-30,16.0,3.22,3.46
MSFT,2025-01-29,16.0,3.12,3.23
MSFT,2024-10-30,16.0,3.11,3.3
MSFT,2024-07-30,16.0,2.94,2.95
MSFT,2024-04-25,16.0,2.84,2.94
MSFT,2024-01-30,16.0,2.77,2.93
MSFT,2023-10-24,16.0,2.65,2.99
