check,variant,window,n_beat,n_miss,mean_beat,mean_miss,spread,t_spread,p_spread
abnormal-return definition,market model (beta-adjusted S&P 500),car1_5,556,70,-0.00023632411967848527,-0.00048795668715567167,0.0002516325674771864,0.041811406583638085,0.9667542440097245
abnormal-return definition,market model (beta-adjusted S&P 500),car1_20,556,70,-0.0013030006703756362,0.0029110497449173376,-0.004214050415292974,-0.43729169863813133,0.6630115561434912
abnormal-return definition,market-adjusted (stock minus S&P 500),car1_5,556,70,0.001019370095003411,-0.0001172306843510329,0.001136600779354444,0.17905697735137455,0.8583513330120578
abnormal-return definition,market-adjusted (stock minus S&P 500),car1_20,556,70,0.00298214391414224,0.006920256470522711,-0.003938112556380471,-0.3787972642063012,0.7058167483596974
abnormal-return definition,sector-adjusted (stock minus sector ETF),car1_5,556,70,0.0015609479206118312,0.0009378932004942077,0.0006230547201176235,0.12771181287988362,0.8986894744303406
abnormal-return definition,sector-adjusted (stock minus sector ETF),car1_20,556,70,0.004524103320844062,0.012243493436333748,-0.007719390115489686,-0.983460781962839,0.3281139712926523
beat/miss threshold,+/-2%,car1_20,556,70,-0.0013030006703756362,0.0029110497449173376,-0.004214050415292974,-0.43729169863813133,0.6630115561434912
beat/miss threshold,+/-5%,car1_20,373,38,-0.0036557528148298962,0.003017922478369437,-0.006673675293199333,-0.46727238422475176,0.6426417255979261
beat/miss threshold,+/-10%,car1_20,203,28,-0.004287500001536195,0.003791025713777633,-0.008078525715313829,-0.6354633846070886,0.5287914067910783
sub-period,first half (to/from 2024-03-15),car1_20,276,46,-0.003297898822727231,0.007623026609971177,-0.010920925432698408,-1.0503324576057442,0.29760158811887155
sub-period,second half (to/from 2024-03-15),car1_20,280,24,0.0006633989369423629,-0.006120239246435854,0.006783638183378217,0.33739672137511456,0.7385862013232153
timing,only events with a known announcement time,car1_20,556,70,-0.0013030006703756362,0.0029110497449173376,-0.004214050415292974,-0.43729169863813133,0.6630115561434912
